I1,I2,I3,R1,R2,R3
235,215,222,200,326,80
4752,5276,5524,8490,9408,3551
13959,16427,13112,13693,15963,5463
112,126,156,132,151,52
3896,3999,4331,3823,4793,1611
10,9,12,4,18,7
320,306,452,388,533,151
119,136,144,129,180,75
62,81,89,16,23,5
452,600,566,104,209,41
105,112,107,112,131,41
20,25,19,210,228,77
15,29,25,19,24,7
55,58,74,65,109,35
5,4,10,12,7,2
104,107,160,111,167,43
5,5,6,5,3,0
99,122,157,98,146,40
2,1,1,4,2,0
240,275,240,223,311,92
70,77,66,40,89,21
2698,2236,2693,2401,2778,1063
11,17,30,12,22,10
421,473,449,420,491,139
58,61,74,53,70,26
352,429,425,339,511,150
4,12,10,0,3,2
2006,2090,2250,2033,2721,880
1134,949,1144,998,1264,504
16,32,44,5,16,2
193,202,235,180,272,94
28,35,46,168,216,66
1595,1802,2057,1651,1882,702
4,6,14,9,14,1
13,24,22,16,32,12
17,24,19,41,56,20
24,26,49,32,52,20
219,237,241,223,287,81
11,14,16,34,50,18
9,4,2,12,6,5
246,289,323,278,344,109
50,85,87,82,116,43
0,1,1,1,0,0
65,78,79,67,91,21
115,141,177,111,245,46
2497,2318,2704,2112,2671,905
19,41,33,23,28,11
0,2,2,4,7,2
1074,1479,1735,1085,1623,400
66,76,89,78,107,28
18,23,13,16,21,5
32,44,38,51,64,19
9,10,8,6,10,5
243,271,284,253,378,97
0,6,5,6,6,3
0,0,0,0,3,0
4,0,3,5,10,3
13,10,10,17,25,8
139,172,104,254,295,94
2649,3059,3273,3768,4642,1588
36,23,33,19,42,5
25,34,35,17,29,8
7,13,13,34,19,17
2,2,0,2,4,0
54,74,61,63,65,28
11,28,30,44,72,15
841,942,1150,881,1125,375
84,93,119,93,148,33
2443,2360,3364,3366,3965,1659
8,9,11,89,84,33
490,500,432,535,650,201
1509,1661,1210,549,441,266
163,163,149,152,189,70
94,110,122,121,141,39
24,25,24,17,53,12
0,1,0,1,1,0
78,89,89,102,94,35
112,154,172,158,162,50
14,15,35,18,44,8
37,24,30,39,41,13
6569,4802,1520,4297,2816,2834
0,0,0,0,0,0
1871,2076,2298,1814,2251,778
145,146,192,82,106,32
164,218,218,138,199,42
335,402,413,349,370,143
431,444,492,396,620,178
287,273,306,259,370,132
3,0,1,4,21,3
168,203,266,206,296,64
312,364,407,373,435,125
7,3,10,10,16,11
1,3,2,6,38,1
54,112,99,91,132,52
0,0,0,0,0,0
285555,387682,322182,343107,316994,119150
1272,1666,2108,826,946,384
8,6,13,14,15,6
1,3,2,4,12,0
19,20,25,71,78,28
29,62,74,66,76,26
102,101,100,129,156,36
5,7,12,7,16,1
6809,6865,7039,5080,5982,2410
5,6,5,6,4,0
1121,1186,1375,1117,1643,446
265,314,384,315,439,128
150,156,79,174,149,61
87,105,125,75,131,42
334,333,248,252,255,114
35,31,29,47,81,18
233,213,265,226,297,113
698,763,846,552,768,201
2224,2683,2146,2155,2428,872
4116,4059,4273,3587,4877,1492
34,37,29,47,41,21
15,22,29,16,31,8
2,3,2,2,0,0
51,46,68,54,87,18
38,46,55,5,13,2
3,6,1,8,10,1
2,0,0,1,1,0
